prop_id,owner_name,mail_address,mail_city,mail_state,mail_zip,situs_street,situs_city,situs_zip,legal_desc,prop_val_yr,year_built,appraised_value,full_property_address,occupancy_status
207883,THRIVING MANAGEMENT A SERIES LLC SERIES FN2,11231 PARK CENTRAL PL,DALLAS,TX,75230,ARBOR                                             DR,,,"GATEWAY PARKS ADD PH 6, BLOCK AF, LOT 20; & HOUSE                                                                                                                                                                                                              & HOUSE",2025,,347000,"ARBOR                                             DR, FORNEY, TX ",Investor/Non-Owner
207890,SHELKE MONISH M &,309 SPRING CT,SUNNYVALE,TX,75182,ARBOR                                             DR,,,"GATEWAY PARKS ADD PH 6, BLOCK AF, LOT 27; & HOUSE                                                                                                                                                                                                              & HOUSE",2025,,374000,"ARBOR                                             DR, FORNEY, TX ",Investor/Non-Owner
207892,YAN JING,1125 NEWPORT DR,ALLEN,TX,75013,ARBOR                                             DR,,,"GATEWAY PARKS ADD PH 6, BLOCK AF, LOT 29; & HOUSE                                                                                                                                                                                                              & HOUSE",2025,,352000,"ARBOR                                             DR, FORNEY, TX ",Investor/Non-Owner
207899,SUH HONORINE,1308 CARTONA RD,FATE,TX,75087,ARBOR                                             DR,ATHENS,75126,"GATEWAY PARKS ADD PH 6, BLOCK AG, LOT 4; & HOUSE                                                                                                                                                                                                               & HOUSE",2025,,394579,"ARBOR                                             DR, ATHENS, TX 75126",Investor/Non-Owner
207900,GORDON ANDREW A & DENIKKA C,1631 SEABREEZE DR,GRAND PRAIRIE,TX,750517430,ARBOR                                             DR,FORNEY,75126,"GATEWAY PARKS ADD PH 6, BLOCK AG, LOT 5; & HOUSE                                                                                                                                                                                                               & HOUSE",2025,,32,"ARBOR                                             DR, FORNEY, TX 75126",Investor/Non-Owner
207902,ZHANG YIFEI,877 GRASSY SHORE CT,ALLEN,TX,75013,ARBOR                                             DR,,,"GATEWAY PARKS ADD PH 6, BLOCK AG, LOT 7; & HOUSE                                                                                                                                                                                                               & HOUSE",2025,,359000,"ARBOR                                             DR, FORNEY, TX ",Investor/Non-Owner
207944,ALI KARIM,4313 TALL KNIGHT LN,CARROLLTON,TX,75010,ARBOR                                             DR,,,"GATEWAY PARKS ADD PH 6, BLOCK AI, LOT 10 & HOUSE",2025,,364000,"ARBOR                                             DR, FORNEY, TX ",Investor/Non-Owner
233707,ASHTON DALLAS RESIDENTIAL LLC,1800 VALLEY VIEW LN                                         STE 100,FARMERS BRANCH,TX,75234,BACHMAN                                           LN,FORNEY,75126,"GATEWAY PARKS ADD PH 4A, BLOCK NN, LOT 60",2025,,62010,"BACHMAN                                           LN, FORNEY, TX 75126",Investor/Non-Owner
233708,ASHTON DALLAS RESIDENTIAL LLC,1800 VALLEY VIEW LN                                         STE 100,FARMERS BRANCH,TX,75234,BACHMAN                                           LN,FORNEY,75126,"GATEWAY PARKS ADD PH 4A, BLOCK NN, LOT 61",2025,,62010,"BACHMAN                                           LN, FORNEY, TX 75126",Investor/Non-Owner
233709,ASHTON DALLAS RESIDENTIAL LLC,1800 VALLEY VIEW LN                                         STE 100,FARMERS BRANCH,TX,75234,BACHMAN                                           LN,FORNEY,75126,"GATEWAY PARKS ADD PH 4A, BLOCK NN, LOT 62",2025,,62010,"BACHMAN                                           LN, FORNEY, TX 75126",Investor/Non-Owner
233710,ASHTON DALLAS RESIDENTIAL LLC,1800 VALLEY VIEW LN                                         STE 100,FARMERS BRANCH,TX,75234,BACHMAN                                           LN,FORNEY,75126,"GATEWAY PARKS ADD PH 4A, BLOCK NN, LOT 63",2025,,62010,"BACHMAN                                           LN, FORNEY, TX 75126",Investor/Non-Owner
233711,K HOVNANIAN DFW GATEWAY PARKS LLC,5808 W PLANO PKWY,PLANO,TX,75093,BACHMAN                                           LN,FORNEY,75126,"GATEWAY PARKS ADD PH 4A, BLOCK NN, LOT 64",2025,,75000,"BACHMAN                                           LN, FORNEY, TX 75126",Investor/Non-Owner
233712,K HOVNANIAN DFW GATEWAY PARKS LLC,5808 W PLANO PKWY,PLANO,TX,75093,BACHMAN                                           LN,FORNEY,75126,"GATEWAY PARKS ADD PH 4A, BLOCK NN, LOT 65",2025,,75000,"BACHMAN                                           LN, FORNEY, TX 75126",Investor/Non-Owner
233713,K HOVNANIAN DFW GATEWAY PARKS LLC,5808 W PLANO PKWY,PLANO,TX,75093,BACHMAN                                           LN,FORNEY,75126,"GATEWAY PARKS ADD PH 4A, BLOCK NN, LOT 66",2025,,75000,"BACHMAN                                           LN, FORNEY, TX 75126",Investor/Non-Owner
233714,K HOVNANIAN DFW GATEWAY PARKS LLC,5808 W PLANO PKWY,PLANO,TX,75093,BACHMAN                                           LN,FORNEY,75126,"GATEWAY PARKS ADD PH 4A, BLOCK NN, LOT 67",2025,,75000,"BACHMAN                                           LN, FORNEY, TX 75126",Investor/Non-Owner
233715,K HOVNANIAN DFW GATEWAY PARKS LLC,5808 W PLANO PKWY,PLANO,TX,75093,BACHMAN                                           LN,FORNEY,75126,"GATEWAY PARKS ADD PH 4A, BLOCK NN, LOT 68",2025,,75000,"BACHMAN                                           LN, FORNEY, TX 75126",Investor/Non-Owner
233716,ASHTON DALLAS RESIDENTIAL LLC,1800 VALLEY VIEW LN                                         STE 100,FARMERS BRANCH,TX,75234,BACHMAN                                           LN,FORNEY,75126,"GATEWAY PARKS ADD PH 4A, BLOCK NN, LOT 69",2025,,62010,"BACHMAN                                           LN, FORNEY, TX 75126",Investor/Non-Owner
233717,ASHTON DALLAS RESIDENTIAL LLC,1800 VALLEY VIEW LN                                         STE 100,FARMERS BRANCH,TX,75234,BACHMAN                                           LN,FORNEY,75126,"GATEWAY PARKS ADD PH 4A, BLOCK NN, LOT 70",2025,,62010,"BACHMAN                                           LN, FORNEY, TX 75126",Investor/Non-Owner
233718,ASHTON DALLAS RESIDENTIAL LLC,1800 VALLEY VIEW LN                                         STE 100,FARMERS BRANCH,TX,75234,BACHMAN                                           LN,FORNEY,75126,"GATEWAY PARKS ADD PH 4A, BLOCK NN, LOT 71",2025,,62010,"BACHMAN                                           LN, FORNEY, TX 75126",Investor/Non-Owner
233719,ASHTON DALLAS RESIDENTIAL LLC,1800 VALLEY VIEW LN                                         STE 100,FARMERS BRANCH,TX,75234,BACHMAN                                           LN,FORNEY,75126,"GATEWAY PARKS ADD PH 4A, BLOCK NN, LOT 72",2025,,62010,"BACHMAN                                           LN, FORNEY, TX 75126",Investor/Non-Owner
233776,ASHTON DALLAS RESIDENTIAL LLC,1800 VALLEY VIEW LN                                         STE 100,FARMERS BRANCH,TX,75234,BACHMAN                                           LN,FORNEY,75126,"GATEWAY PARKS ADD PH 4A, BLOCK UU, LOT 1",2025,,62010,"BACHMAN                                           LN, FORNEY, TX 75126",Investor/Non-Owner
233777,ASHTON DALLAS RESIDENTIAL LLC,1800 VALLEY VIEW LN                                         STE 100,FARMERS BRANCH,TX,75234,BACHMAN                                           LN,FORNEY,75126,"GATEWAY PARKS ADD PH 4A, BLOCK UU, LOT 2",2025,,62010,"BACHMAN                                           LN, FORNEY, TX 75126",Investor/Non-Owner
